global,time,income_mountain_50bracket_shape_for_log
world,1852,"27843,56396,104135,183226,320165,564484,988782,1693809,2919925,5176934,9354880,16873943,29691156,50997562,80789287,114464362,145949718,162541506,158460445,137157917,107205134,79580337,58058622,41058916,28197816,18571966,11692932,7172603,4388209,2674400,1594308,933830,542746,310572,176445,98433,56183,32581,18806,10716,5923,3168,1661,824,412,204,84,29,6,0"
world,1853,"28123,57291,104998,184024,320421,562935,984022,1685012,2906305,5166628,9343237,16860393,29690972,50997505,80715255,114460072,146040150,162609558,158417120,137031657,107142091,79526768,58037721,41215714,28508907,18927126,11993206,7367994,4536795,2789344,1682629,984043,570504,323686,182571,100543,56550,32617,18798,10726,5940,3208,1692,853,426,218,91,32,9,0"
world,1854,"29023,57992,106460,186932,325891,573432,1003930,1721388,2971846,5266314,9490186,17046342,29872809,51103706,80714851,114405037,145943450,162351957,157951998,136498733,106837920,79519751,58246640,41649899,28979793,19336736,12309178,7598924,4689616,2884660,1738646,1015577,588328,333791,188366,103749,58335,33659,19410,11100,6178,3336,1771,898,445,229,95,36,9,0"
world,1855,"28575,57705,105774,185059,321736,564933,989167,1695953,2915239,5142250,9225653,16539579,28938913,49585030,78824221,112706862,145017772,162913543,159600818,138690491,108916751,81131643,59343290,42263115,29274299,19439519,12294564,7542947,4592931,2764851,1634190,951171,552348,317080,181016,101698,58148,33738,19509,11159,6206,3351,1777,910,453,229,102,37,9,0"
world,1856,"28133,56627,103590,180727,313144,547431,955857,1637820,2811040,4978515,8975994,16204882,28641402,49374438,78791108,112838326,145225546,163062880,159481314,138140242,108331882,80880521,59559568,42904846,30021434,20154634,12890980,7970271,4924282,3028479,1824381,1063950,614431,347257,195220,107052,59946,34541,19952,11439,6392,3487,1857,961,473,244,112,44,10,0"
world,1857,"27538,54835,101645,179006,312376,551155,971054,1675730,2892160,5118516,9205122,16538247,28957468,49582616,78748793,112779644,145085617,162729209,158903478,137401435,107988659,81167367,60224067,43690620,30605061,20547658,13125857,8083527,4923116,2958000,1746326,1013151,584586,333457,189424,105917,60310,35010,20329,11719,6568,3579,1915,976,489,251,112,43,10,0"
world,1858,"27271,53135,95739,167895,294391,521621,922540,1597534,2756967,4898716,8865821,16045964,28397074,48943686,78184587,112366484,144648790,162207492,158551100,137591288,108815653,82560899,61774476,45042545,31487713,20945598,13234446,8125632,4988533,3029218,1795376,1033702,588873,328436,182262,98530,54768,31446,18149,10453,5910,3266,1770,938,467,249,107,45,10,1"
world,1859,"27768,53999,96072,167406,292889,519197,920313,1594930,2745213,4867154,8805655,15954275,28273592,48770803,77963787,112217714,144726655,162598567,159101434,138098002,109263136,82834412,61861271,45084414,31594445,21098074,13411923,8267196,5101876,3115526,1859074,1071090,610135,339631,188150,101258,55788,31872,18360,10579,5986,3332,1807,969,482,257,116,46,10,1"
world,1860,"27976,54247,96200,167136,292193,518224,919455,1591949,2725863,4796870,8632981,15591318,27543301,47424020,76015883,110183297,143142840,162308007,159745656,139155524,110337223,84120458,63277795,46770632,33053916,22190235,14114047,8658379,5328615,3253592,1946999,1121568,636541,352263,194067,103863,56638,32228,18542,10702,6066,3374,1836,976,477,246,108,44,11,0"
world,1861,"28017,54629,96915,168052,293230,519019,918862,1586743,2708739,4760446,8566934,15499034,27435536,47334067,75988862,110321400,143475182,162887041,160634273,140349009,111567926,84781821,63423835,46329067,32569218,21825421,13914228,8590012,5311046,3252419,1948154,1122176,638650,354446,195572,104781,57202,32590,18756,10839,6131,3417,1875,989,494,253,114,48,11,2"
world,1862,"28601,55606,99219,173251,303871,540878,960913,1657326,2821880,4947862,8873895,15937354,27907428,47791663,76350769,110881184,144022421,163040739,159981013,138939226,110222799,84416232,63941485,47433122,33576593,22467151,14272831,8715930,5305058,3199330,1890169,1081530,612610,340944,188756,102351,56254,32130,18541,10729,6074,3396,1863,980,489,251,112,46,11,2"
world,1863,"27909,54434,97165,169349,296950,529541,945718,1638530,2783768,4868323,8732291,15713733,27596323,47402828,76053073,110829624,144118339,163179558,160086624,138858142,109900598,84227686,64020012,48176926,34483598,23495158,15122258,9344320,5743748,3558667,2177261,1273754,722127,397402,214709,113354,59269,33100,18891,10861,6163,3470,1902,1019,509,260,122,44,10,0"
world,1864,"27900,55370,99192,172976,303313,540871,966284,1678698,2860897,4984844,8874928,15849373,27662982,47340107,75816264,110436702,143779240,163208865,160486465,139428576,110408430,84492620,64186883,48362331,34814344,24028394,15595506,9698297,5953152,3687210,2264347,1332701,755339,415700,223576,118174,61119,33704,19095,10910,6164,3463,1884,1022,504,258,123,45,7,0"
world,1865,"29613,58734,105541,184619,323196,569831,996809,1700757,2884363,5009766,8874866,15812982,27642663,47375161,75925622,110494555,143733462,163151183,160553788,139713138,111020080,85425807,65298428,49232395,35231271,23947357,15391091,9505954,5896562,3705844,2293520,1341658,761100,415623,223776,116109,60090,33482,19068,10925,6178,3450,1875,999,500,254,125,46,10,1"
world,1866,"31002,61769,110018,191834,334482,585458,1016075,1722646,2901561,5003928,8805762,15604304,27209262,46535790,74784029,109736058,143482230,163819218,161628479,140750714,112103319,86338686,66059287,49850298,35737246,24350133,15662171,9665482,5991426,3761326,2327214,1360462,771617,421265,226477,117124,60395,33645,19210,11030,6265,3500,1906,1014,511,254,130,49,10,4"
